Target Geo Id 2010,Target Geo Id2 2010,Geographical Area,MSA,Population 2010,Housing units 2010,Area in square miles - Total area 2010,Area in square miles - Water area 2010,Area in square miles - Land area 2010,Density per square mile of land area - Population 2010,Density per square mile of land area - Housing units 2010
310M100US19780,19780,"United States - In metropolitan statistical area - Des Moines-West Des Moines, IA MSA","Des Moines-West Des Moines, IA MSA",569633,240203,2911.82,28.12,2883.7,197.5,83.3
310M100US19820,19820,"United States - In metropolitan statistical area - Detroit-Warren-Livonia, MI MSA","Detroit-Warren-Livonia, MI MSA",4296250,1886537,4235.58,347.17,3888.4,1104.9,485.2
310M100US20020,20020,"United States - In metropolitan statistical area - Dothan, AL MSA","Dothan, AL MSA",145639,66897,1728.91,12.93,1715.98,84.9,39
310M100US20100,20100,"United States - In metropolitan statistical area - Dover, DE MSA","Dover, DE MSA",162310,65338,798.33,212.15,586.18,276.9,111.5
310M100US20220,20220,"United States - In metropolitan statistical area - Dubuque, IA MSA","Dubuque, IA MSA",93653,38951,616.63,8.33,608.3,154,64
310M100US20260,20260,"United States - In metropolitan statistical area - Duluth, MN-WI MSA","Duluth, MN-WI MSA",279771,141539,9214.46,801.54,8412.92,33.3,16.8
310M100US20500,20500,"United States - In metropolitan statistical area - Durham-Chapel Hill, NC MSA","Durham-Chapel Hill, NC MSA",504357,222760,1813.2,54.76,1758.44,286.8,126.7
310M100US20740,20740,"United States - In metropolitan statistical area - Eau Claire, WI MSA","Eau Claire, WI MSA",161151,69336,1686.53,40.17,1646.36,97.9,42.1
310M100US20940,20940,"United States - In metropolitan statistical area - El Centro, CA MSA","El Centro, CA MSA",174528,56067,4481.72,305.12,4176.6,41.8,13.4
310M100US21060,21060,"United States - In metropolitan statistical area - Elizabethtown, KY MSA","Elizabethtown, KY MSA",119736,49433,893.76,8.97,884.8,135.3,55.9
310M100US21140,21140,"United States - In metropolitan statistical area - Elkhart-Goshen, IN MSA","Elkhart-Goshen, IN MSA",197559,77767,467.97,4.8,463.17,426.5,167.9
310M100US21300,21300,"United States - In metropolitan statistical area - Elmira, NY MSA","Elmira, NY MSA",88830,38369,410.78,3.43,407.35,218.1,94.2
310M100US21340,21340,"United States - In metropolitan statistical area - El Paso, TX MSA","El Paso, TX MSA",800647,270307,1014.96,2.27,1012.69,790.6,266.9
310M100US21500,21500,"United States - In metropolitan statistical area - Erie, PA MSA","Erie, PA MSA",280566,119138,1558.23,759.08,799.15,351.1,149.1
310M100US21660,21660,"United States - In metropolitan statistical area - Eugene-Springfield, OR MSA","Eugene-Springfield, OR MSA",351715,156112,4721.87,168.75,4553.12,77.2,34.3
310M100US21780,21780,"United States - In metropolitan statistical area - Evansville, IN-KY MSA","Evansville, IN-KY MSA",358676,159314,2347.81,63.85,2283.96,157,69.8
310M100US21820,21820,"United States - In metropolitan statistical area - Fairbanks, AK MSA","Fairbanks, AK MSA",97581,41783,7443.69,105.48,7338.21,13.3,5.7
310M100US22020,22020,"United States - In metropolitan statistical area - Fargo, ND-MN MSA","Fargo, ND-MN MSA",208777,91897,2820.55,10.24,2810.3,74.3,32.7
