MSA,Target Geo Id2,Population 1990,Population 1991,Population 1992,Population 1993,Population 1994,Population 1995,Population 1996,Population 1997,Population 1998,Population 1999,Population 2000, Population 2001, Population 2002, Population 2003, Population 2004, Population 2005, Population 2006, Population 2007, Population 2008, Population 2009,Population 2010,Density 1990,Density 1991,Density 1992,Density 1993,Density 1994,Density 1995,Density 1996,Density 1997,Density 1998,Density 1999,Density 2000,Density 2001,Density 2002,Density 2003,Density 2004,Density 2005,Density 2006,Density 2007,Density 2008,Density 2009,Density 2010
"Kansas City, MO--KS MSA",28140,1566280,1587258.2,1608236.4,1629214.6,1650192.8,1671171,1692149.2,1713127.4,1734105.6,1755083.8,1776062,1801989.2,1827916.4,1853843.6,1879770.8,1905698,1931625.2,1957552.4,1983479.6,2009406.8,2035334,314,315.45,316.9,318.35,319.8,321.25,322.7,324.15,325.6,327.05,328.5,321.65,314.8,307.95,301.1,294.25,287.4,280.55,273.7,266.85,260
"Kenosha, WI PMSA",,128181,130320.6,132460.2,134599.8,136739.4,138879,141018.6,143158.2,145297.8,147437.4,149577,,,,,,,,,,,469.8,477.64,485.48,493.32,501.16,509,516.84,524.68,532.52,540.36,548.2,,,,,,,,,,
"Killeen--Temple, TX MSA",28660,255301,261066.1,266831.2,272596.3,278361.4,284126.5,289891.6,295656.7,301421.8,307186.9,312952,322186.8,331421.6,340656.4,349891.2,359126,368360.8,377595.6,386830.4,396065.2,405300,120.9,123.63,126.36,129.09,131.82,134.55,137.28,140.01,142.74,145.47,148.2,147.77,147.34,146.91,146.48,146.05,145.62,145.19,144.76,144.33,143.9
"Knoxville, TN MSA",28940,604816,613059.3,621302.6,629545.9,637789.2,646032.5,654275.8,662519.1,670762.4,679005.7,687249,688327.1,689405.2,690483.3,691561.4,692639.5,693717.6,694795.7,695873.8,696951.9,698030,218,224.26,230.52,236.78,243.04,249.3,255.56,261.82,268.08,274.34,280.6,290.13,299.66,309.19,318.72,328.25,337.78,347.31,356.84,366.37,375.9
"Kokomo, IN MSA",29020,96946,97405.5,97865,98324.5,98784,99243.5,99703,100162.5,100622,101081.5,101541,101255.7,100970.4,100685.1,100399.8,100114.5,99829.2,99543.9,99258.6,98973.3,98688,175.2,176.03,176.86,177.69,178.52,179.35,180.18,181.01,181.84,182.67,183.5,182.98,182.46,181.94,181.42,180.9,180.38,179.86,179.34,178.82,178.3
"La Crosse, WI--MN MSA",29100,97904,100797.4,103690.8,106584.2,109477.6,112371,115264.4,118157.8,121051.2,123944.6,126838,127520.7,128203.4,128886.1,129568.8,130251.5,130934.2,131616.9,132299.6,132982.3,133665,216.2,207.12,198.04,188.96,179.88,170.8,161.72,152.64,143.56,134.48,125.4,126.18,126.96,127.74,128.52,129.3,130.08,130.86,131.64,132.42,133.2
"Lafayette, IN MSA",29140,130598,135820.3,141042.6,146264.9,151487.2,156709.5,161931.8,167154.1,172376.4,177598.7,182821,184717.8,186614.6,188511.4,190408.2,192305,194201.8,196098.6,197995.4,199892.2,201789,261.3,255.37,249.44,243.51,237.58,231.65,225.72,219.79,213.86,207.93,202,197.58,193.16,188.74,184.32,179.9,175.48,171.06,166.64,162.22,157.8
"Lafayette, LA MSA",29180,208740,226430.7,244121.4,261812.1,279502.8,297193.5,314884.2,332574.9,350265.6,367956.3,385647,374456.1,363265.2,352074.3,340883.4,329692.5,318501.6,307310.7,296119.8,284928.9,273738,206.7,200.9,195.1,189.3,183.5,177.7,171.9,166.1,160.3,154.5,148.7,161.03,173.36,185.69,198.02,210.35,222.68,235.01,247.34,259.67,272
"Lake Charles, LA MSA",29340,168134,169678.3,171222.6,172766.9,174311.2,175855.5,177399.8,178944.1,180488.4,182032.7,183577,185180,186783,188386,189989,191592,193195,194798,196401,198004,199607,157,158.44,159.88,161.32,162.76,164.2,165.64,167.08,168.52,169.96,171.4,162.76,154.12,145.48,136.84,128.2,119.56,110.92,102.28,93.64,85
"Lakeland--Winter Haven, FL MSA",29460,405382,413236.2,421090.4,428944.6,436798.8,444653,452507.2,460361.4,468215.6,476069.8,483924,495741.1,507558.2,519375.3,531192.4,543009.5,554826.6,566643.7,578460.8,590277.9,602095,216.2,220.4,224.6,228.8,233,237.2,241.4,245.6,249.8,254,258.2,265.87,273.54,281.21,288.88,296.55,304.22,311.89,319.56,327.23,334.9
